POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((-0.0 -89.9999,-0.0 -44.99995,89.99995 -44.99995,89.99995 -89.9999,-0.0 -89.9999))
POLYGON ((89.99995 -89.9999,89.99995 -44.99995,179.9999 -44.99995,179.9999 -89.9999,89.99995 -89.9999))
POLYGON ((-0.0 -44.99995,-0.0 -22.499975,44.999975 -22.499975,44.999975 -44.99995,-0.0 -44.99995))
POLYGON ((44.999975 -44.99995,44.999975 -22.499975,89.99995 -22.499975,89.99995 -44.99995,44.999975 -44.99995))
POLYGON ((-0.0 -22.499975,0 0,44.999975 -0.0,44.999975 -22.499975,-0.0 -22.499975))
POLYGON ((44.999975 -22.499975,44.999975 -19.687478125,50.624971875 -19.687478125,50.624971875 -22.499975,44.999975 -22.499975))
POLYGON ((50.624971875 -22.499975,50.624971875 -21.093726562500002,53.437470312499997 -21.093726562500002,53.437470312499997 -22.499975,50.624971875 -22.499975))
POLYGON ((53.437470312499997 -22.499975,53.437470312499997 -21.796850781250001,54.843719531250009 -21.796850781250001,54.843719531250009 -22.499975,53.437470312499997 -22.499975))
POLYGON ((54.843719531250009 -22.499975,54.843719531250009 -21.796850781250001,56.24996875 -21.796850781250001,56.24996875 -22.499975,54.843719531250009 -22.499975))
POLYGON ((53.437470312499997 -21.796850781250001,53.437470312499997 -21.093726562500002,54.843719531250009 -21.093726562500002,54.843719531250009 -21.796850781250001,53.437470312499997 -21.796850781250001))
POLYGON ((54.843719531250009 -21.796850781250001,54.843719531250009 -21.445288671875002,55.546844140624998 -21.445288671875002,55.546844140624998 -21.796850781250001,54.843719531250009 -21.796850781250001))
POLYGON ((55.546844140624998 -21.796850781250001,55.546844140624998 -21.445288671875002,56.24996875 -21.445288671875002,56.24996875 -21.796850781250001,55.546844140624998 -21.796850781250001))
POLYGON ((54.843719531250009 -21.445288671875002,54.843719531250009 -21.2695076171875,55.195281835937514 -21.2695076171875,55.195281835937514 -21.445288671875002,54.843719531250009 -21.445288671875002))
POLYGON ((55.195281835937514 -21.445288671875002,55.195281835937514 -21.2695076171875,55.546844140624998 -21.2695076171875,55.546844140624998 -21.445288671875002,55.195281835937514 -21.445288671875002))
POLYGON ((54.843719531250009 -21.2695076171875,54.843719531250009 -21.093726562500002,55.195281835937514 -21.093726562500002,55.195281835937514 -21.2695076171875,54.843719531250009 -21.2695076171875))
POLYGON ((55.195281835937514 -21.2695076171875,55.195281835937514 -21.181617089843751,55.371062988281246 -21.181617089843751,55.371062988281246 -21.2695076171875,55.195281835937514 -21.2695076171875))
POLYGON ((55.371062988281246 -21.2695076171875,55.371062988281246 -21.181617089843751,55.546844140624998 -21.181617089843751,55.546844140624998 -21.2695076171875,55.371062988281246 -21.2695076171875))
POLYGON ((55.195281835937514 -21.181617089843751,55.195281835937514 -21.093726562500002,55.371062988281246 -21.093726562500002,55.371062988281246 -21.181617089843751,55.195281835937514 -21.181617089843751))
POLYGON ((55.371062988281246 -21.181617089843751,55.371062988281246 -21.093726562500002,55.546844140624998 -21.093726562500002,55.546844140624998 -21.181617089843751,55.371062988281246 -21.181617089843751))
POLYGON ((55.546844140624998 -21.445288671875002,55.546844140624998 -21.2695076171875,55.898406445312496 -21.2695076171875,55.898406445312496 -21.445288671875002,55.546844140624998 -21.445288671875002))
POLYGON ((55.898406445312496 -21.445288671875002,55.898406445312496 -21.2695076171875,56.24996875 -21.2695076171875,56.24996875 -21.445288671875002,55.898406445312496 -21.445288671875002))
POLYGON ((55.546844140624998 -21.2695076171875,55.546844140624998 -21.093726562500002,55.898406445312496 -21.093726562500002,55.898406445312496 -21.2695076171875,55.546844140624998 -21.2695076171875))
POLYGON ((55.898406445312496 -21.2695076171875,55.898406445312496 -21.093726562500002,56.24996875 -21.093726562500002,56.24996875 -21.2695076171875,55.898406445312496 -21.2695076171875))
POLYGON ((50.624971875 -21.093726562500002,50.624971875 -19.687478125,53.437470312499997 -19.687478125,53.437470312499997 -21.093726562500002,50.624971875 -21.093726562500002))
POLYGON ((53.437470312499997 -21.093726562500002,53.437470312499997 -20.39060234375,54.843719531249995 -20.39060234375,54.843719531249995 -21.093726562500002,53.437470312499997 -21.093726562500002))
POLYGON ((54.843719531249995 -21.093726562500002,54.843719531249995 -20.917945507812501,55.195281835937507 -20.917945507812501,55.195281835937507 -21.093726562500002,54.843719531249995 -21.093726562500002))
POLYGON ((55.195281835937507 -21.093726562500002,55.195281835937507 -21.00583603515625,55.371062988281253 -21.00583603515625,55.371062988281253 -21.093726562500002,55.195281835937507 -21.093726562500002))
POLYGON ((55.371062988281253 -21.093726562500002,55.371062988281253 -21.00583603515625,55.546844140624998 -21.00583603515625,55.546844140624998 -21.093726562500002,55.371062988281253 -21.093726562500002))
POLYGON ((55.195281835937507 -21.00583603515625,55.195281835937507 -20.917945507812501,55.371062988281253 -20.917945507812501,55.371062988281253 -21.00583603515625,55.195281835937507 -21.00583603515625))
POLYGON ((55.371062988281253 -21.00583603515625,55.371062988281253 -20.917945507812501,55.546844140624998 -20.917945507812501,55.546844140624998 -21.00583603515625,55.371062988281253 -21.00583603515625))
POLYGON ((54.843719531249995 -20.917945507812501,54.843719531249995 -20.742164453125,55.195281835937507 -20.742164453125,55.195281835937507 -20.917945507812501,54.843719531249995 -20.917945507812501))
